iter	RMSE
155	7210.672701
156	7205.630693
157	7198.559074
158	7192.275121
159	7184.957097
160	7177.248612
161	7170.414106
162	7162.563222
163	7153.881846
164	7148.408093
165	7140.727676
166	7136.164277
167	7132.741387
168	7123.432132
169	7116.611484
170	7109.265055
171	7101.843616
172	7095.940751
173	7076.902301
174	7071.876857
175	7062.702869
176	7052.813412
177	7043.110938
178	7036.228855
179	7027.326108
180	7018.729636
181	7014.711759
182	7010.058662
183	7002.19556
184	6996.629296
185	6987.932653
186	6981.852765
187	6971.602547
188	6966.071558
189	6961.071874
190	6952.270427
191	6946.54287
192	6941.033093
193	6931.969217
194	6919.190557
195	6914.353157
196	6901.485504
197	6895.941534
198	6888.097673
199	6883.197125
200	6875.487918
201	6868.283442
202	6862.757977
203	6856.222646
204	6851.479961
205	6846.107087
206	6840.045606
207	6832.713762
208	6827.71625
209	6823.036013
210	6819.438744
211	6811.209063
212	6798.397818
213	6793.09681
214	6789.103187
215	6780.085835
216	6776.169014
217	6770.046583
218	6764.326209
219	6757.289615
220	6752.744932
221	6748.404277
222	6745.18629
223	6737.977233
224	6733.304473
225	6729.008725
226	6721.379498
227	6712.12764
228	6708.695883
229	6705.582896
230	6701.612946
231	6700.047757
232	6694.362494
233	6691.238634
234	6684.78958
235	6673.970742
236	6665.852233
237	6661.730798
238	6658.249076
239	6655.360039
240	6649.034284
241	6644.672546
242	6637.97056
243	6634.397338
244	6627.816545
245	6621.797132
246	6615.085802
247	6609.972767
248	6602.671545
249	6597.806691
250	6586.901595
251	6584.139027
252	6575.216518
253	6571.309166
254	6567.434848
255	6558.092979
256	6552.07136
257	6545.725515
258	6540.156931
259	6534.513779
260	6531.568817
261	6523.725179
262	6517.328456
263	6513.437659
264	6506.958764
265	6503.291487
266	6499.231203
267	6491.604815
268	6485.681313
269	6479.257556
270	6474.872602
271	6468.4343
272	6460.863384
273	6458.41791
274	6450.752214
275	6446.418543
276	6441.832254
277	6436.210952
278	6432.781492
279	6427.689121
280	6424.086365
281	6419.083508
282	6416.150245
283	6410.140768
284	6403.277363
285	6398.174687
286	6394.657485
287	6391.909286
288	6387.231173
289	6382.520087
290	6375.826845
291	6370.939474
292	6367.492171
293	6360.987064
294	6357.344701
295	6354.190111
296	6345.414159
297	6340.117973
298	6334.651308
299	6326.401988
300	6323.290697
301	6320.250164
302	6314.615635
303	6310.190892
304	6308.508831
305	6305.255157
306	6299.870331
307	6292.987172
308	6287.545171
309	6284.642083
310	6277.746218
311	6272.412765
312	6267.150706
313	6262.07105
314	6255.378388
315	6250.048348
316	6245.94009
317	6240.855869
318	6236.410855
319	6231.298039
320	6229.458347
321	6225.71945
322	6216.979113
323	6212.397545
324	6209.977194
325	6205.030165
326	6202.72266
327	6198.552988
328	6193.440436
329	6188.752008
330	6184.377107
331	6180.252071
332	6177.271833
333	6177.265111
334	6170.527779
335	6166.038365
336	6161.727932
337	6157.927948
338	6151.733481
339	6148.078393
340	6143.227627
341	6137.32895
342	6132.531008
343	6126.160034
344	6120.132541
345	6115.677666
346	6111.809638
347	6107.414665
348	6105.26231
349	6099.247556
350	6092.141082
351	6087.720887
352	6082.931389
353	6077.639124
354	6070.969395
355	6065.736162
356	6060.907659
357	6057.312018
358	6052.870011
359	6046.66162
360	6042.701772
361	6039.718019
362	6037.796454
363	6033.285576
364	6028.836155
365	6025.581063
366	6020.202854
367	6015.687986
368	6012.389347
369	6006.193154
370	6002.40767
371	5994.529887
372	5991.995125
373	5986.020892
374	5979.116323
375	5976.474461
376	5971.117618
377	5969.020353
378	5960.275318
379	5954.638559
380	5949.614963
381	5944.66028
382	5940.665462
383	5931.494864
384	5923.901793
385	5919.990214
386	5916.293146
387	5912.548383
388	5903.278185
389	5899.326119
390	5893.372119
391	5887.632102
392	5883.397145
393	5878.69786
394	5875.669879
395	5866.037292
396	5863.562973
397	5860.060394
398	5856.16338
399	5853.686923
400	5850.604553
401	5846.127248
402	5841.609717
403	5837.88313
404	5834.402422
405	5829.614501
406	5826.884835
407	5823.803167
408	5820.091766
409	5818.044761
410	5812.653714
411	5808.629287
412	5802.590314
413	5797.048879
414	5792.632583
415	5789.802571
416	5786.072567
417	5781.415796
418	5774.33356
419	5767.726172
420	5763.920987
421	5759.742076
422	5755.073074
423	5753.451327
424	5749.955313
425	5745.148832
426	5741.603034
427	5736.958399
428	5731.9181
429	5729.264275
430	5723.632226
431	5720.657975
432	5718.221324
433	5713.972603
434	5711.533062
435	5708.251625
436	5702.856966
437	5700.698401
438	5695.541278
439	5690.525954
440	5686.10352
441	5681.045894
442	5676.434463
443	5669.73759
444	5665.73949
445	5660.47404
446	5657.488627
447	5653.650885
448	5651.503872
449	5646.937898
450	5640.351688
451	5636.582868
452	5634.138223
453	5630.694465
454	5627.131085
455	5625.081898
456	5622.700482
457	5618.031203
458	5614.241593
459	5611.233599
460	5607.236088
461	5604.905213
462	5601.065241
463	5596.949773
464	5590.809843
465	5587.96994
466	5582.625147
467	5579.076375
468	5571.651564
469	5567.670101
470	5565.815133
471	5562.259723
472	5554.790194
473	5548.662272
474	5544.740087
475	5541.792457
476	5539.120196
477	5537.334521
478	5533.262183
479	5529.066434
480	5527.337578
481	5524.945313
482	5522.420113
483	5519.240969
484	5514.843661
485	5509.699329
486	5506.019631
487	5502.382732
488	5499.782214
489	5495.501294
490	5492.109446
491	5488.271549
492	5482.490927
493	5479.987572
494	5476.353113
495	5473.880891
496	5470.107951
497	5466.012466
498	5461.242368
499	5459.320242
500	5454.887044
501	5450.889219
502	5449.347538
503	5444.846035
504	5438.600357
505	5433.728498
506	5430.177564
507	5427.944116
508	5424.262229
509	5421.75951
510	5416.825102
511	5413.433883
512	5410.164562
513	5408.046447
514	5404.067601
515	5399.419024
516	5395.848303
517	5392.646986
518	5390.290171
519	5386.60137
520	5380.902879
521	5379.239609
522	5374.368219
523	5369.18948
524	5366.917004
525	5364.395097
526	5361.754365
527	5358.877537
528	5354.944206
529	5352.571937
530	5346.306601
531	5343.917035
532	5339.506536
533	5336.21214
534	5333.116977
535	5330.9755
536	5328.579173
537	5327.011263
538	5322.597275
539	5318.564153
540	5314.29324
541	5309.009039
542	5306.060822
543	5302.584149
544	5297.36949
545	5295.354854
546	5293.229632
547	5290.292622
548	5287.948099
549	5284.027493
550	5280.126963
551	5278.252521
552	5275.695766
553	5271.493656
554	5267.954096
555	5267.051055
556	5264.689489
557	5260.548901
558	5258.023559
559	5255.659644
560	5251.808793
561	5249.099955
562	5242.643982
563	5240.029155
564	5236.308943
565	5231.838265
566	5228.344008
567	5225.317333
568	5223.638439
569	5222.2479
570	5218.185427
571	5213.26927
572	5210.521598
573	5207.351231
574	5205.063344
575	5202.102124
576	5197.273194
577	5194.515114
578	5194.121862
579	5191.843943
580	5189.899987
581	5185.671035
582	5182.15985
583	5178.606901
584	5174.940521
585	5170.33342
586	5167.382466
587	5163.790191
588	5161.182261
589	5157.677563
590	5154.33449
591	5151.737412
592	5147.721701
593	5143.762688
594	5139.626606
595	5136.344356
596	5134.215129
597	5131.522289
598	5130.25744
599	5129.552812
600	5125.104352
601	5122.850486
602	5119.250342
603	5115.904999
604	5113.991167
605	5110.054805
606	5108.026154
607	5103.784883
608	5100.534966
609	5099.13822
610	5095.960795
611	5092.333632
612	5088.356723
613	5085.993977
614	5082.653107
615	5080.441311
616	5077.054019
617	5074.552733
618	5071.218829
619	5066.722787
620	5063.414252
621	5059.466139
622	5056.728531
623	5054.744868
624	5051.808707
625	5050.042918
626	5047.188452
627	5044.540011
628	5040.460238
629	5038.321429
630	5033.026323
631	5029.720509
632	5027.158789
633	5024.144512
634	5020.975988
635	5019.543278
636	5015.721059
637	5014.992759
638	5014.992745
639	5010.999838
640	5009.195115
641	5006.989388
642	5004.934943
643	5002.516123
644	5000.934609
645	4998.645219
646	4994.825364
647	4991.399931
648	4988.189011
649	4985.787709
650	4981.721228
651	4979.2356
652	4975.672886
653	4974.346497
654	4972.803151
655	4969.587694
656	4965.590567
657	4963.54217
658	4963.542138
659	4959.388013
660	4957.966984
661	4956.024009
662	4953.37418
663	4951.603061
664	4949.882333
665	4945.091733
666	4941.311341
667	4940.793771
668	4938.768202
669	4935.245438
670	4931.783135
671	4931.782881
672	4929.45655
673	4927.939351
674	4925.408304
675	4923.019794
676	4920.868145
677	4919.090253
678	4915.900675
679	4913.66448
680	4910.252186
681	4907.301378
682	4904.345283
683	4901.804258
684	4896.913573
685	4893.809807
686	4892.328626
687	4888.630022
688	4884.848145
689	4883.385783
690	4881.322485
691	4878.208719
692	4876.885485
693	4875.538071
694	4871.761399
695	4870.493247
696	4869.305991
697	4865.529421
698	4863.731981
699	4861.81949
700	4859.777209
701	4857.684772
702	4854.869085
703	4853.969556
704	4852.974454
705	4851.413416
706	4850.78635
707	4847.6858
708	4845.013913
709	4840.511301
710	4838.31799
711	4834.941332
712	4831.974221
713	4829.356569
714	4825.952801
715	4825.698282
716	4823.906343
717	4821.97638
718	4820.569946
719	4816.3259
720	4814.351195
721	4812.542828
722	4809.562871
723	4809.56188
724	4808.040981
725	4805.109655
726	4802.125635
727	4800.356439
728	4798.340105
729	4794.20014
730	4792.56206
731	4789.277754
732	4787.037627
733	4784.917967
734	4782.791126
735	4778.964644
736	4777.244309
737	4775.57035
738	4774.102812
739	4773.79855
740	4771.656559
741	4769.313379
742	4768.211242
743	4765.016702
744	4764.028908
745	4762.788049
746	4758.859587
747	4757.112934
748	4754.717542
749	4751.825907
750	4750.57052
751	4748.17512
752	4745.943743
753	4745.151098
754	4741.895847
755	4741.89567
756	4738.655865
757	4735.925238
758	4733.531649
759	4730.902871
760	4729.503894
761	4726.478466
762	4722.64314
763	4719.849689
764	4718.713188
765	4716.861426
766	4715.74287
767	4713.330881
768	4712.161775
769	4708.816842
770	4706.397392
771	4704.392646
772	4702.645058
773	4699.876534
774	4698.025975
775	4696.965489
776	4693.872665
777	4691.194015
778	4690.117091
779	4687.281715
780	4686.169432
781	4682.356296
782	4681.253372
783	4678.572019
784	4678.249042
785	4674.933492
786	4674.932376
787	4672.16331
788	4670.555842
789	4667.940369
790	4665.808521
791	4662.681976
792	4660.637494
793	4659.662154
794	4657.150932
795	4654.584954
796	4650.699787
797	4649.404611
798	4648.163686
799	4648.16243
800	4645.186677
801	4642.874566
802	4640.931868
803	4639.956071
804	4639.12738
805	4638.475044
806	4633.609031
807	4632.008667
808	4628.886391
809	4627.78144
810	4626.820797
811	4623.573162
812	4621.662906
813	4618.499895
814	4617.362751
815	4615.21395
816	4614.033191
817	4611.596112
818	4610.254589
819	4607.980437
820	4605.859182
821	4603.513557
822	4601.497688
823	4599.704952
824	4598.506255
825	4596.264812
826	4594.788871
827	4593.485795
828	4591.626544
829	4589.219135
830	4584.642984
831	4583.414113
832	4581.29409
833	4579.842734
834	4577.885217
835	4575.01981
836	4575.018994
837	4573.581469
838	4571.969691
839	4569.707851
840	4568.241438
841	4566.508735
842	4565.781416
843	4563.919979
844	4561.312063
845	4559.915622
846	4557.184402
847	4555.335083
848	4553.419879
849	4550.998731
850	4548.426956
851	4547.342084
852	4543.337472
853	4541.084876
854	4539.056081
855	4536.901911
856	4535.261448
857	4533.901916
858	4531.883454
859	4530.12441
860	4528.259744
861	4526.601068
862	4525.115313
863	4523.078285
864	4523.076344
865	4522.627903
866	4521.782053
867	4519.635705
868	4518.155334
869	4515.512482
870	4511.488649
871	4508.816495
872	4508.811421
873	4507.352564
874	4505.935058
875	4504.912499
876	4503.710168
877	4500.89339
878	4498.607475
879	4496.227267
880	4493.654097
881	4491.474681
882	4488.456139
883	4487.523596
884	4485.527925
885	4481.517173
886	4480.106217
887	4478.641073
888	4476.525435
889	4476.521934
890	4473.987612
891	4473.186565
892	4471.684193
893	4470.288508
894	4468.852763
895	4467.937103
896	4464.835375
897	4462.849639
898	4461.071352
899	4459.916655
900	4457.145129
901	4455.480368
902	4453.203731
903	4452.723476
904	4451.007753
905	4447.379609
906	4445.152774
907	4442.855071
908	4439.429802
909	4438.933727
910	4437.859439
911	4436.405293
912	4434.235214
913	4431.555697
914	4431.553604
915	4428.723615
916	4426.00557
917	4423.882788
918	4422.609395
919	4421.438371
920	4419.408366
921	4415.203507
922	4412.2871
923	4410.078871
924	4407.693611
925	4405.501011
926	4403.632047
927	4401.890544
928	4400.932037
929	4397.940789
930	4397.086791
931	4395.90945
932	4394.641164
933	4393.229722
934	4391.685291
935	4389.648987
936	4387.925374
937	4386.423541
938	4384.517996
939	4383.784476
940	4383.135207
941	4382.116753
942	4380.650792
943	4378.346878
944	4377.339248
945	4375.744362
946	4373.877696
947	4370.376633
948	4368.432767
949	4366.109
950	4364.880571
951	4363.322364
952	4362.25696
953	4360.002773
954	4358.553355
955	4356.38177
956	4354.442349
957	4352.717462
958	4351.082327
959	4350.148517
960	4349.670329
961	4347.325528
962	4345.410342
963	4343.523064
964	4342.476024
965	4341.321348
966	4339.547247
967	4339.50298
968	4337.540326
969	4335.105113
970	4332.855278
971	4330.179109
972	4328.88722
973	4326.775769
974	4324.516741
975	4322.898891
976	4321.306574
977	4319.51897
978	4317.859285
979	4315.76227
980	4314.41964
981	4314.099866
982	4312.904966
983	4312.073866
984	4310.275408
985	4308.643999
986	4308.105331
987	4306.265056
988	4304.123353
989	4302.948294
990	4301.763896
991	4299.510432
992	4297.570641
993	4294.434366
994	4292.447313
995	4290.844228
996	4289.491411
997	4289.491248
998	4287.914349
999	4286.271615
